feature,importance
emb_588,0.0008356931293949311
emb_1448,0.0008356423261021591
emb_919,0.0008304039829194134
emb_994,0.0008286711087606494
emb_1283,0.0008282918994984412
emb_1293,0.0008238029592435863
emb_626,0.0008128282718924715
emb_3,0.0008113077715219319
emb_533,0.0008084731453579981
emb_1269,0.000807148594591506
emb_1005,0.0008010753860078254
SEM_domain_primary_none,0.0007998862173689538
emb_549,0.0007986193216312492
emb_956,0.0007945250069936004
emb_766,0.0007925555755518239
emb_1203,0.0007855243413144009
emb_1074,0.000777409540837916
emb_586,0.0007755514448380186
emb_267,0.0007736991097298711
emb_598,0.000770135947180849
emb_32,0.0007685362199217141
emb_1528,0.0007604296522984746
emb_1141,0.000752877567188119
emb_1282,0.0007503625249151975
emb_1416,0.000749775263709894
emb_104,0.000749204131505583
emb_1178,0.0007460506461476201
emb_535,0.0007441668218436397
emb_849,0.0007423405713362656
emb_1257,0.0007403610594178619
emb_609,0.0007390778368237621
TASK_needs_aggregation_1,0.000737990958622806
emb_878,0.0007337533717969081
emb_405,0.0007325020388706404
emb_879,0.0007269557382076683
emb_8,0.0007244955066986901
emb_573,0.0007235867562258564
emb_822,0.00071909167606256
emb_682,0.0007157128007097144
emb_1053,0.0007135773668379746
emb_830,0.0007122682651383348
emb_636,0.0007116131400768906
emb_219,0.0007109118526655461
emb_1107,0.000710694446489732
emb_1075,0.0007052899997643026
emb_767,0.00070447689627519
emb_728,0.0007037601787518697
emb_904,0.0007024488472686971
emb_66,0.0006834703352075632
emb_304,0.0006818159891400153
emb_720,0.0006810743031053531
emb_662,0.0006759607781558182
emb_1120,0.0006749360673173227
emb_64,0.0006718793208016842
emb_671,0.0006705444878863703
emb_958,0.0006698638330156538
emb_45,0.0006673141527437109
emb_1092,0.0006597911824471419
emb_718,0.0006572135352882736
emb_833,0.0006558175864333028
emb_115,0.0006447676309134649
emb_430,0.0006438455576032006
emb_146,0.0006392504366036929
emb_108,0.0006371245638091201
emb_1195,0.0006369948982357259
emb_1179,0.0006281046383331284
emb_384,0.0006219147861733156
emb_1135,0.0006206987269578835
emb_1163,0.0006204916391094929
emb_700,0.0006178450240985819
emb_1065,0.0006176411946507973
emb_1455,0.0006164398996222538
emb_1199,0.0006116137839755157
emb_933,0.0006096019420344027
emb_654,0.0006094035380953836
emb_1210,0.0006090089660646515
